shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
vt-vasttag,3464,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3465,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3466,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3467,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3468,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3470,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3471,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3472,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3474,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3481,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3486,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3489,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3490,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3493,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3500,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3513,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3515,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3516,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3517,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3519,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3520,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3521,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3523,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3524,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
