shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,delfiAgencyID,delfiAgencyName
### VBN IDs aren't set!!!! ###
hvv-kvi,X89,#8cc359,#ffffff,,hexagon,,15143,KVIPVH
hvv-kvi,X99,#bc3c95,#ffffff,,hexagon,,15143,KVIPVH

hvv-vhh,1,#bcd25d,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,2,#f4b94f,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,3,#bc3d95,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,15,#4bbf9d,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,21,#234ea3,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,22,#712f91,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,29,#522a90,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,32,#522a90,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,601,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,602,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,609,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,610,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,619,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,621,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,627,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,629,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,638,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,639,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,649,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,658,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,668,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,669,#000000,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,X3,#722f91,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,X30,#8e332a,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,X32,#bf9466,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,X33,#ffffff,#173e84,#173e84,hexagon,,15146,VHH Bus
hvv-vhh,X80,#ebc353,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,X81,#30653c,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,X82,#8697b1,#ffffff,,hexagon,,15146,VHH Bus
hvv-vhh,X95,#c06936,#ffffff,,hexagon,,15146,VHH Bus

regiobus-hannover,170,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,300,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,301,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,310,#ffffff,#2c2e35,#af2a21,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,320,#ffffff,#2c2e35,#0155ae,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,360,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,365,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,366,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,367,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,380,#ffffff,#2c2e35,#fb3199,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,381,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,382,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,383,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,385,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,400,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,404,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,410,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,421,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,430,#ffffff,#2c2e35,#af2a21,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,431,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,460,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,490,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,492,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,500,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,510,#ffffff,#2c2e35,#af2a21,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,520,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,521,#ffffff,#2c2e35,#8ce0f8,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,522,#ffffff,#2c2e35,#fb3199,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,523,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,530,#ffffff,#2c2e35,#fb3199,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,532,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,534,#ffffff,#2c2e35,#0155ae,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,540,#ffffff,#2c2e35,#9b2e4c,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,560,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,561,#ffffff,#2c2e35,#ffbe32,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,562,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,570,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,571,#ffffff,#2c2e35,#fc87bf,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,572,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,573,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,574,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,575,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,580,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,600,#ffffff,#2c2e35,#ffbe32,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,616,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,620,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,621,#ffffff,#2c2e35,#ffeb3d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,630,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,635,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,636,#ffffff,#2c2e35,#0073c0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,638,#ffffff,#2c2e35,#8ce0f8,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,639,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,651,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,652,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,690,#ffffff,#2c2e35,#af2a21,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,692,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,694,#ffffff,#2c2e35,#ffbe32,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,695,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,696,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,697,#ffffff,#2c2e35,#009edd,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,698,#ffffff,#2c2e35,#102694,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,700,#ffffff,#2c2e35,#ffbe32,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,701,#ffffff,#2c2e35,#9b2e4c,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,710,#ffffff,#2c2e35,#53afbb,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,711,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,715,#ffffff,#2c2e35,#fc87bf,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,740,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,741,#ffffff,#2c2e35,#102694,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,745,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,760,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,780,#ffffff,#2c2e35,#117b40,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,785,#ffffff,#2c2e35,#fb3199,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,801,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,802,#ffffff,#2c2e35,#ffeb3d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,820,#ffffff,#2c2e35,#0073c0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,830,#ffffff,#2c2e35,#ffadb2,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,831,#ffffff,#2c2e35,#117b40,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,835,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,840,#ffffff,#2c2e35,#53afbb,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,850,#ffffff,#2c2e35,#9b2e4c,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,860,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,865,#ffffff,#2c2e35,#ffbe32,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,870,#ffffff,#2c2e35,#fb3199,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,900,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,905,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,906,#ffffff,#2c2e35,#0073c0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,907,#ffffff,#2c2e35,#af2a21,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,910,#ffffff,#2c2e35,#00ab4f,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,916,#ffffff,#2c2e35,#fb3199,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,917,#ffffff,#2c2e35,#ff9027,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,920,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,926,#ffffff,#2c2e35,#903da0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,927,#ffffff,#2c2e35,#35ccf6,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,930,#ffffff,#2c2e35,#ffbe32,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,938,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,946,#ffffff,#2c2e35,#fc87bf,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,948,#ffffff,#2c2e35,#117b40,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,949,#ffffff,#2c2e35,#9b2e4c,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,950,#ffffff,#2c2e35,#00ab4f,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,962,#ffffff,#2c2e35,#ff2e17,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,963,#ffffff,#2c2e35,#ffbe32,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,964,#ffffff,#2c2e35,#8ce0f8,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,965,#ffffff,#2c2e35,#3ebc6d,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,966,#ffffff,#2c2e35,#0073c0,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,967,#ffffff,#2c2e35,#95cc45,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,968,#ffffff,#2c2e35,#fb3199,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N31,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N41,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N43,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N50,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N56,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N57,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N62,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N63,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N70,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH
regiobus-hannover,N94,#08345d,#ffffff,,pill,,12076,RegioBus Hannover GmbH

s-bahn-hannover,S 1,#846daa,#ffffff,,pill,Q63433445,13776,S-Bahn Hannover
s-bahn-hannover,S 2,#007a3d,#ffffff,,pill,Q63433449,13776,S-Bahn Hannover
s-bahn-hannover,S 21,#007a3d,#ffffff,,pill,Q63433451,13776,S-Bahn Hannover
s-bahn-hannover,S 3,#cc69a6,#ffffff,,pill,Q63433452,13776,S-Bahn Hannover
s-bahn-hannover,S 4,#9b2b48,#ffffff,,pill,Q63433455,13776,S-Bahn Hannover
s-bahn-hannover,S 5,#f18700,#ffffff,,pill,Q63433456,13776,S-Bahn Hannover
s-bahn-hannover,S 51,#f18700,#ffffff,,pill,Q63433457,13776,S-Bahn Hannover
s-bahn-hannover,S 6,#004f9f,#ffffff,,pill,Q63433460,13776,S-Bahn Hannover
s-bahn-hannover,S 7,#afcb27,#ffffff,,pill,Q63433461,13776,S-Bahn Hannover
s-bahn-hannover,S 8,#1794ca,#ffffff,,pill,Q63433462,13776,S-Bahn Hannover

uestra,1,#ffffff,#2c2e35,#ff2e3e,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,2,#ffffff,#2c2e35,#ff2e3e,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,3,#ffffff,#2c2e35,#0073c0,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,4,#ffffff,#2c2e35,#ffac2e,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,5,#ffffff,#2c2e35,#ffac2e,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,6,#ffffff,#2c2e35,#ffac2e,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,7,#ffffff,#2c2e35,#0073c0,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,8,#ffffff,#2c2e35,#ff2e3e,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,9,#ffffff,#2c2e35,#0073c0,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
uestra,10,#ffffff,#2c2e35,#6dc248,rectangle,,554,üstra Hannoversche Verkehrsbetriebe AG
