hafas-id,name
verkehrsbetriebe-zurich,Verkehrsbetriebe Zürich
verkehrsbetriebe-zurichsee-und-oberland,Verkehrsbetriebe Zürichsee und Oberland
verkehrsgesellschaft-mbh-untermain,Verkehrsgesellschaft mbH Untermain
vias-gmbh,VIAS GmbH
vias-rail-gmbh,VIAS Rail GmbH
vierwaldstattersee,Vierwaldstättersee
viking-line,Viking Line
vinschgaubahn,Vinschgaubahn
vlexx,vlexx
vogtlandbahn-die-landerbahn-gmbh-dlb,vogtlandbahn - Die Länderbahn GmbH DLB
vr,VR
vy,Vy
vy-tag,Vy Tåg
waldbahn-die-landerbahn-gmbh-dlb,waldbahn - Die Länderbahn GmbH DLB
waldenburgerbahn,Waldenburgerbahn
wales-borders,Wales & Borders
wanderbahn-im-regental,Wanderbahn im Regental
warszawska-kolej-dojazdowa,Warszawska Kolej Dojazdowa
wasserauen-ebenalp,Wasserauen-Ebenalp
weisse-arena-bergbahnen-ag,Weisse Arena Bergbahnen AG
wengen-mannlichen,Wengen-Männlichen
wengernalpbahn,Wengernalpbahn
wengernalpbahn-grindelwald-grund-eigergletscher,Wengernalpbahn Grindelwald Grund - Eigergletscher
weser-ems-bus,Weser-Ems-Bus
westbahn,WESTbahn
westfalenbahn,WestfalenBahn
westfalenbus,Westfalenbus
wiener-linien,Wiener Linien
wurttembergische-eisenbahn-gesellschaft-mbh,Württembergische Eisenbahn-Gesellschaft mbH
wutachtalbahn,Wutachtalbahn
wyker-dampfschiffs-reederei-fohr-amrum-gmbh,Wyker Dampfschiffs-Reederei Föhr-Amrum GmbH
wynental-und-suhrental-bahn,Wynental-und Suhrental-Bahn
zentralbahn,Zentralbahn
zermatt-bergbahnen-ag,Zermatt Bergbahnen AG
zillertalbahn,Zillertalbahn
zpcg-zeljeznicki-prevoz-crne-gore-ad,ZPCG Zeljeznicki prevoz Crne Gore AD
zssk,ZSSK
zugerbergbahn,Zugerbergbahn
zugerland-verkehrsbetriebe,Zugerland Verkehrsbetriebe
zugersee,Zugersee
zurichsee,Zürichsee
zweckverband-fur-den-nahverkehrsraum-leipzig, Zweckverband für den Nahverkehrsraum Leipzig
